テーブルID,T001,,,,,,,,,,
テーブル名(和名),ログイン情報,,,,,,,,,,
テーブル名(物理名),LOGIN_INFO,,,,,,,,,,
,,,,,,,,,,,
No,項目名(和名),項目名(物理名),PK,FK,Index,データ型,桁数,小数点桁数,必須,コードID,項目説明
1,キー,key,〇,,,VARCHAR2,10,,〇,,"テーブルの主キー
登録順で1?番号を付与、管理"
2,ログインID,login_id,,,〇,VARCHAR2,10,,〇,,新規登録からユーザから登録した
,,,,,,,,,,,ID ・主キー・パスワードと紐づけて1セットで管理
3,パスワード,password_hash,,,,VARCHAR(255),255,,〇,,"8文字以上の文字数で構成
"
,,,,,,,,,,,"数字・記号・大文字・小文字を少なくとも1種類ずつ含んだもの
"
,,,,,,,,,,,HTMLのバリデーション機能を用いて登録時に制限
4,最終ログイン日,last_login_date,,,,DATE,,,,,最終ログイン日
5,最終連続ログイン日数,last_login_days,,,,INT,10,,,,レコード更新時に最終ログイン日(last_login_date)が
,,,,,,,,,,,"前日の場合は元の値に+1する
"
,,,,,,,,,,,前日でない場合は 1 に初期化する
6,最高連続ログイン日数,max_login_days,,,,INT,10,,,,レコード更新時に連続ログイン(last_login_days)が
,,,,,,,,,,,"元の値以上に更新される場合は上書きする
"
,,,,,,,,,,,初期値は 1 
7,累計ログイン日数,total_login_days,,,,INT,10,,,,"累計ログイン日数
"
,,,,,,,,,,,初期値は 1 
8,作成日時,create_date_time,,,,TIMESTAMP,,,〇,,レコードの作成日時
9,更新日時,update_date_time,,,,TIMESTAMP,,,〇,,レコードの更新日時
